--> 123PFI: 422335994 || EZI_ADD: 18 PROFESSORS WALK PARKVILLE 3052 || SRC_VERIF: 2024-12-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: OLD ARTS BUILDING 149 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 18.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: PROFESSORS || ROAD_TYPE: WALK || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.9601284890001 || y: -37.79772154799997 ||
--> 123PFI: 422335968 || EZI_ADD: 783 SWANSTON STREET PARKVILLE 3052 || SRC_VERIF: 2024-12-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: SIDNEY MYER ASIA CENTRE BUILDING 158 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 783.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: SWANSTON || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96393198700002 || y: -37.798864942999955 ||
--> 123PFI: 422335972 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: BUILDING 157 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.9633139540001 || y: -37.79794095999995 ||
--> 123PFI: 422336009 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: INFRASTRUCTURE ENGINEERING BUILDING 174-176 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96160342500002 || y: -37.799897718999944 ||
--> 123PFI: 422336011 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: MECHANICAL ENGINEERING BUILDING 169-170 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96232926100004 || y: -37.79958241999998 ||
--> 123PFI: 422335966 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: JOHN SMYTH BUILDING 197 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.963708246 || y: -37.79943366899994 ||
--> 123PFI: 422336015 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-07-16 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC:  || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE:  || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: OLD RADIATION LAB BUILDING 164 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96244897100007 || y: -37.79895187099993 ||
--> 123PFI: 422621986 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96086001300012 || y: -37.79684069999996 ||
--> 123PFI: 422621989 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96086001300012 || y: -37.79684069999996 ||
--> 123PFI: 422621992 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: B || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING: UNION HOUSE BUILDING 130 || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96086001300012 || y: -37.79684069999996 ||
--> 123PFI: 422621995 || EZI_ADD: 230 GRATTAN STREET PARKVILLE 3052 || SRC_VERIF: 2015-08-19 || PROPSTATUS: A || GCODEFEAT: V || LOC_DESC: PART || BLGUNTTYP:  || HSAUNITID:  || BUNIT_PRE1:  || BUNIT_ID1:  || BUNIT_SUF1:  || BUNIT_PRE2:  || BUNIT_ID2:  || BUNIT_SUF2:  || FLOOR_TYPE: G || FLOOR_NO_1:  || FLOOR_NO_2:  || BUILDING:  || COMPLEX:  || HSE_PREF1:  || HSE_NUM1: 230.0 || HSE_SUF1:  || HSE_PREF2:  || HSE_NUM2:  || HSE_SUF2:  || DISP_NUM1:  || ROAD_NAME: GRATTAN || ROAD_TYPE: STREET || RD_SUF:  || LOCALITY: PARKVILLE || STATE: VIC || POSTCODE: 3052 || ACCESSTYPE: L || x: 144.96086001300012 || y: -37.79684069999996 ||
